Date,Name,Year,Letterboxd URI,Rating
2023-06-15,Agnyaathavaasi,2018,https://boxd.it/hRDo,2
2023-06-15,Okka Kshanam,2017,https://boxd.it/hQyC,3
2023-06-15,Mayaanadhi,2017,https://boxd.it/goaU,2.5
2023-06-15,Velaikkaran,2017,https://boxd.it/giem,3.5
2023-06-15,Hello!,2017,https://boxd.it/hO2k,3
2023-06-15,M.C.A,2017,https://boxd.it/htJM,2.5
2023-06-15,Maayavan,2017,https://boxd.it/eoPY,4
2023-06-15,Malli Raava,2017,https://boxd.it/hJNU,3.5
2023-06-15,Jawaan,2017,https://boxd.it/gt9s,2
2023-06-15,Oxygen,2017,https://boxd.it/hlGq,3
2023-06-15,Mental Madhilo,2017,https://boxd.it/hJV0,3.5
2023-06-15,Napoleon,2017,https://boxd.it/i6bY,3
2023-06-15,Theeran Adhigaaram Ondru,2017,https://boxd.it/ghV0,4
2023-06-15,Aramm,2017,https://boxd.it/g46S,2.5
2023-06-15,PSV Garuda Vega,2017,https://boxd.it/hqq8,3.5
2023-06-15,Next Nuvve,2017,https://boxd.it/hrNi,2.5
2023-06-15,Vunnadhi Okate Zindagi,2017,https://boxd.it/houC,2
2023-06-15,Mersal,2017,https://boxd.it/gicK,2.5
2023-06-15,Raju Gari Gadhi 2,2017,https://boxd.it/hhw2,2
2023-06-15,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2023-06-15,Solo,2017,https://boxd.it/grbc,3
2023-06-15,Mahanubhavudu,2017,https://boxd.it/hbVA,3
2023-06-15,Jai Lava Kusa,2017,https://boxd.it/3tnS,3.5
2023-06-15,Thupparivaalan,2017,https://boxd.it/esI8,4
2023-06-15,It,2017,https://boxd.it/bC8e,3.5
2023-06-15,Arjun Reddy,2017,https://boxd.it/gYiq,4
2023-06-15,Vivegam,2017,https://boxd.it/fAtC,3
2023-06-15,Anando Brahma,2017,https://boxd.it/gU5W,3
2023-06-15,The Hitman's Bodyguard,2017,https://boxd.it/dCmO,3
2023-06-15,Nene Raju Nene Mantri,2017,https://boxd.it/gt30,3.5
2023-06-15,LIE,2017,https://boxd.it/gAaW,3
2023-06-15,Jaya Janaki Nayaka,2017,https://boxd.it/gGPG,2.5
2023-06-15,Goutham Nanda,2017,https://boxd.it/gF1g,4
2023-06-15,Vikram Vedha,2017,https://boxd.it/fkaY,4
2023-06-15,Fidaa,2017,https://boxd.it/gKvK,3.5
2023-06-15,Shamantakamani,2017,https://boxd.it/gIPI,3.5
2023-06-15,Ninnu Kori,2017,https://boxd.it/gEcW,3.5
2023-06-15,Spider-Man: Homecoming,2017,https://boxd.it/aboM,4
2023-06-15,Thondimuthalum Driksakshiyum,2017,https://boxd.it/grc0,4
2023-06-15,DJ: Duvvada Jagannadham,2017,https://boxd.it/fMIu,3
2023-06-15,Maragadha Naanayam,2017,https://boxd.it/ewXQ,3
2023-06-15,Ami Thumi,2017,https://boxd.it/gwNq,2.5
2023-06-15,Andhhagadu,2017,https://boxd.it/gsw6,3
2023-06-15,Rarandoi Veduka Chudham,2017,https://boxd.it/gnXw,3.5
2023-06-15,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,3
2023-06-15,Keshava,2017,https://boxd.it/gmmu,3
2023-06-15,Radha,2017,https://boxd.it/glrI,2
2023-06-15,Bāhubali 2: The Conclusion,2017,https://boxd.it/bMfO,4
2023-06-15,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2023-06-15,Sivalinga,2017,https://boxd.it/g7Va,3
2023-06-15,Dora,2017,https://boxd.it/eG8y,2.5
2023-06-15,Life,2017,https://boxd.it/dRqG,3
2023-06-15,Baby Driver,2017,https://boxd.it/bhF2,4.5
2023-06-15,Maanagaram,2017,https://boxd.it/ewN2,4
2023-06-15,Kuttram 23,2017,https://boxd.it/e9Pu,2
2023-06-15,Kittu Unnadu Jagratha,2017,https://boxd.it/fSzo,2.5
2023-06-15,Winner,2017,https://boxd.it/fML4,2
2023-06-15,The Ghazi Attack,2017,https://boxd.it/fJu0,3.5
2023-06-15,Newton,2017,https://boxd.it/fBbO,3.5
2023-06-16,John Wick: Chapter 4,2023,https://boxd.it/mh48,3
2023-06-18,Midsommar,2019,https://boxd.it/jhxe,3.5
2023-06-24,Good Will Hunting,1997,https://boxd.it/2ahY,4
2023-06-24,The Martian,2015,https://boxd.it/8SeG,4
2023-06-24,The Departed,2006,https://boxd.it/28MA,4
2023-06-24,Raanjhanaa,2013,https://boxd.it/5M1U,4
2023-06-26,October,2018,https://boxd.it/hUvi,4
2023-06-29,Whiplash,2014,https://boxd.it/7bQA,5
2023-06-29,Dead Poets Society,1989,https://boxd.it/2aSg,4.5
2023-06-29,Save the Tigers,2023,https://boxd.it/GpTS,2.5
2023-07-01,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2023-07-01,Dia,2020,https://boxd.it/p23g,3
2023-07-01,Thambi,2019,https://boxd.it/o6pe,3
2023-07-01,Escape Room,2019,https://boxd.it/iYlS,3
2023-07-01,Veera Bhoga Vasantha Rayalu,2018,https://boxd.it/knVy,3.5
2023-07-01,Wonder Woman,2017,https://boxd.it/9roG,3
2023-07-02,Lady Bird,2017,https://boxd.it/dGNE,3.5
2023-07-03,Dune,2021,https://boxd.it/fA7G,4
2023-07-03,Pammal K. Sambandam,2002,https://boxd.it/8sG,3
2023-07-03,Sanju,2018,https://boxd.it/hTZm,4
2023-07-03,Toy Story 2,1999,https://boxd.it/29qq,4
2023-07-03,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2023-07-03,Orphan,2009,https://boxd.it/1CgM,3.5
2023-07-03,Tenet,2020,https://boxd.it/leq4,4
2023-07-04,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,5
2023-07-04,Interstellar,2014,https://boxd.it/4VZ8,5
2023-07-04,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2023-07-04,Good Night,2023,https://boxd.it/FgZA,3.5
2023-07-04,Dasara,2023,https://boxd.it/xq4y,3
